source,building_id,longitude,latitude,height_m,층수,용도,종류
map1,83,227793.02916313862,380304.8840105902,3.0,1,주택,일반주택
map1,84,229103.00975107562,378894.3786271736,3.0,1,근린생활시설,무벽건물
map1,85,229073.1243974211,378879.30939363915,3.0,1,근린생활시설,무벽건물
map1,86,229049.1230557817,378843.105770533,3.0,1,근린생활시설,무벽건물
map1,87,229019.27650000004,378828.10599999997,3.0,1,근린생활시설,무벽건물
map1,88,229224.647203371,378833.26730321266,9.0,3,주택,일반주택
map1,89,228857.46355947736,378660.4178905651,12.0,4,근린생활시설,주택외건물
map1,90,228848.41556582038,378655.968552177,12.0,4,근린생활시설,주택외건물
map1,91,228839.49222746617,378651.4646880461,12.0,4,근린생활시설,주택외건물
map1,92,228830.5112147745,378647.0523648261,12.0,4,근린생활시설,주택외건물
map1,93,228821.68455312875,378642.6852289576,12.0,4,근린생활시설,주택외건물
map1,94,228782.12399999998,378867.3695,3.0,1,근린생활시설,무벽건물
map1,95,228761.5986813554,378857.09904546815,3.0,1,근린생활시설,무벽건물
map1,96,228739.46649999995,378846.92649999994,3.0,1,근린생활시설,무벽건물
map1,97,228440.15942971,378603.29740199825,9.0,3,근린생활시설,주택외건물
map1,98,227953.5806922398,379599.78560459503,3.0,1,기타시설,무벽건물
map1,99,227950.23910307954,379632.43846388883,3.0,1,주택,일반주택
map1,100,227897.3395,380230.65349999996,3.0,1,기타시설,무벽건물
map1,101,229125.92249999993,378815.5054999999,3.0,1,종교시설,무벽건물
map1,102,228717.6865,378775.07350000006,3.0,1,기타시설,무벽건물
map1,103,228446.51119685173,378662.3903914204,3.0,1,근린생활시설,무벽건물
map1,104,228040.2161287369,379361.20549168956,3.0,1,기타시설,무벽건물
map1,105,228076.73458175993,379565.5118361473,3.0,1,기타시설,무벽건물
map1,106,228003.3059765752,379362.87724872207,3.0,1,기타시설,무벽건물
map1,107,227998.31469950924,379695.8516234425,3.0,1,기타시설,가건물
map1,108,227998.3882583713,379692.5308293966,3.0,1,기타시설,가건물
map1,109,227893.34924609368,380177.5854686165,3.0,1,기타시설,무벽건물
map1,110,229214.1422952597,378824.7593931326,3.0,1,근린생활시설,주택외건물
map1,111,228627.1307174543,378469.03975919506,15.0,5,주택,연립주택
map1,112,228495.36650000003,378557.2485,3.0,1,기타시설,무벽건물
map1,113,228457.9574467713,378559.1790319618,3.0,1,자동차관련시설,무벽건물
map1,114,228463.74250000002,378558.105,3.0,1,자동차관련시설,무벽건물
map1,115,228345.45026033357,378510.18959152733,3.0,1,교육연구시설,무벽건물
map1,116,228370.09668268418,378554.314542327,3.0,1,교육연구시설,무벽건물
map1,117,227867.94666224762,378480.6678750135,3.0,1,기타시설,무벽건물
map1,118,227867.27749999997,378488.862,3.0,1,기타시설,무벽건물
map1,119,228915.03499999997,378609.684,12.0,4,근린생활시설,주택외건물
map1,120,228907.32093132794,378605.7615673583,12.0,4,근린생활시설,주택외건물
map1,121,228644.2615,378635.5165,3.0,1,기타시설,무벽건물
map1,122,228624.9157007422,378625.8644120425,3.0,1,노유자(노인및어린이)시설,무벽건물
map1,123,228541.07418433417,378626.4390775593,3.0,1,근린생활시설,무벽건물
map1,124,228719.36378762612,378724.5751049896,3.0,1,기타시설,무벽건물
map1,125,227981.65966141643,379447.75192277104,3.0,1,기타시설,가건물
map1,126,227981.05423257875,379436.77247141756,3.0,1,기타시설,가건물
map1,127,227876.70582288748,378718.3993444405,3.0,1,기타시설,가건물
map1,128,227883.50790967207,378701.76326215366,3.0,1,기타시설,무벽건물
map1,129,227984.11651579646,379431.139710979,3.0,1,기타시설,가건물
map1,130,227899.09871574552,379446.5730881308,3.0,1,기타시설,가건물
map1,131,227925.4197108718,379468.98742877657,3.0,1,기타시설,가건물
map1,132,227957.80676472827,379452.4386002992,3.0,1,기타시설,가건물
map1,133,227978.86678185765,379456.87554249575,3.0,1,기타시설,가건물
map1,134,227864.17934558602,380037.5397384529,3.0,1,기타시설,가건물
map1,135,227869.21149476568,380040.6808306971,3.0,1,기타시설,가건물
map1,136,228701.04036072484,378493.37906188524,3.0,1,기타시설,무벽건물
map1,137,228692.545,378546.85650000005,3.0,1,기타시설,가건물
map1,138,228196.8252641527,378327.72924373636,3.0,1,기타시설,무벽건물
map1,139,228190.30921668027,378332.67738248344,3.0,1,근린생활시설,주택외건물
map1,140,229056.81100000002,378718.51699999993,3.0,1,근린생활시설,무벽건물
map1,141,229143.135,378774.08150000003,3.0,1,기타시설,무벽건물
map1,142,229249.65949999998,378811.03900000005,3.0,1,기타시설,무벽건물
map1,143,229248.03708940544,378815.9232627395,3.0,1,기타시설,무벽건물
map1,144,229168.9880469467,378719.5552262922,3.0,1,분뇨및쓰레기처리시설,주택외건물
map1,145,229138.96002884643,378738.19984368264,3.0,1,근린생활시설,주택외건물
map1,146,229147.5161341373,378746.8293232127,3.0,1,근린생활시설,주택외건물
map1,147,229137.98600868016,378753.33613027324,6.0,2,주택,일반주택
map1,148,229037.919,378734.85,3.0,1,기타시설,무벽건물
map1,149,228929.82027949023,378681.20765871083,3.0,1,기타시설,가건물
map1,150,228925.93250000002,378680.969,3.0,1,기타시설,가건물
map1,151,227849.68974801776,378686.2615401043,3.0,1,기타시설,가건물
map1,152,227854.55075128033,378687.5480574885,3.0,1,기타시설,가건물
map1,153,229224.88154397337,379915.5137359451,3.0,1,교육연구시설,무벽건물
map1,154,229227.61200000002,379961.45650000003,3.0,1,교육연구시설,무벽건물
map1,155,228451.19525736186,378505.6385020196,9.0,3,근린생활시설,주택외건물
map1,156,228443.94235842436,378501.9537573543,9.0,3,근린생활시설,주택외건물
map1,157,227221.3361976692,379493.99443922227,3.0,1,기타시설,가건물
map1,158,227227.76308120796,379491.0676420101,3.0,1,기타시설,가건물
map1,159,227093.36516863678,379774.13147480285,3.0,1,종교시설,무벽건물
map1,160,227088.72433671993,379773.79439407564,3.0,1,종교시설,무벽건물
map1,161,227718.62463991743,380460.1186802491,3.0,1,기타시설,가건물
map1,162,227679.02255896587,380490.02127324685,3.0,1,기타시설,가건물
map1,163,227319.43117504643,379472.10499896767,3.0,1,주택,일반주택
map1,164,227324.80243287832,379954.61222749494,3.0,1,기타시설,가건물
map1,165,227325.925,379944.9710000001,3.0,1,기타시설,가건물
map1,166,227364.3303958789,380026.10508022935,3.0,1,기타시설,가건물
map1,167,227323.53623706606,380045.902292503,3.0,1,기타시설,가건물
map1,168,227298.87546113945,380126.8937541924,3.0,1,기타시설,무벽건물
map1,169,227294.07483158074,380131.35366496677,3.0,1,기타시설,무벽건물
map1,170,227643.7454713483,380396.50772627175,3.0,1,기타시설,무벽건물
map1,171,227586.78300182408,380717.9713983744,3.0,1,기타시설,무벽건물
map1,172,227509.97908996767,380740.14493854996,3.0,1,기타시설,가건물
map1,173,227518.53052914,380750.5737978679,3.0,1,기타시설,무벽건물
map1,174,227390.49735605347,380756.9609081548,3.0,1,기타시설,가건물
map1,175,227394.34015028097,380752.1430871736,3.0,1,기타시설,가건물
map1,176,227396.42186430833,380746.5351864736,3.0,1,기타시설,가건물
map1,177,227464.96681300725,380814.95638801163,3.0,1,기타시설,무벽건물
map1,178,227484.37063946127,380814.10847768997,3.0,1,기타시설,무벽건물
map1,179,227823.05449292544,379731.73813863297,3.0,1,기타시설,무벽건물
map1,180,227814.59350000002,379754.10699999996,3.0,1,기타시설,가건물
map1,181,227364.442,379162.265,3.0,1,기타시설,가건물
map1,182,227361.11799999996,379163.38149999996,3.0,1,기타시설,가건물
map1,183,227506.04725200395,379184.44242817693,3.0,1,기타시설,무벽건물
map1,184,227497.98277373126,379183.1759936219,3.0,1,근린생활시설,주택외건물
map1,185,227498.01437060692,379201.67045240046,3.0,1,근린생활시설,주택외건물
